model_name,symmetry_z,symmetry_x,symmetry_y
h_cups,symmetry,asymmetry,asymmetry
pan_tefal,symmetry,asymmetry,asymmetry
bleach_cleanser,symmetry_180,asymmetry,asymmetry
a_cups,symmetry,asymmetry,asymmetry
a_lego_duplo,symmetry_180,asymmetry,asymmetry
a_toy_airplane,asymmetry,asymmetry,asymmetry
adjustable_wrench,asymmetry,asymmetry,asymmetry
b_cups,symmetry,asymmetry,asymmetry
b_lego_duplo,symmetry,asymmetry,asymmetry
b_toy_airplane,asymmetry,asymmetry,asymmetry
banana,asymmetry,asymmetry,asymmetry
bowl,symmetry,asymmetry,asymmetry
bowl_a,symmetry,asymmetry,asymmetry
c_cups,symmetry,asymmetry,asymmetry
c_lego_duplo,symmetry_180,asymmetry,asymmetry
c_toy_airplane,symmetry,symmetry_180,symmetry_180
conditioner,symmetry_180,asymmetry,asymmetry
correction_fuid,symmetry_180,symmetry_180,symmetry_180
cracker_box,symmetry_180,symmetry_180,symmetry_180
cup_small,symmetry,asymmetry,asymmetry
d_cups,symmetry,asymmetry,asymmetry
d_lego_duplo,symmetry_180,asymmetry,asymmetry
d_toy_airplane,symmetry,asymmetry,asymmetry
doraemon_bowl,asymmetry,asymmetry,asymmetry
doraemon_cup,symmetry,asymmetry,asymmetry
doraemon_spoon,asymmetry,asymmetry,asymmetry
e_cups,symmetry,asymmetry,asymmetry
e_lego_duplo,symmetry_180,asymmetry,asymmetry
e_toy_airplane,symmetry,asymmetry,asymmetry
extra_large_clamp,asymmetry,symmetry_180,asymmetry
f_cups,symmetry,asymmetry,asymmetry
f_lego_duplo,symmetry_90,asymmetry,asymmetry
flat_screwdriver,asymmetry,symmetry,asymmetry
foam_brick,symmetry_180,symmetry_180,symmetry_180
fork,asymmetry,symmetry_180,asymmetry
g_cups,symmetry,asymmetry,asymmetry
g_lego_duplo,asymmetry,asymmetry,asymmetry
gelatin_box,symmetry_90,symmetry_180,symmetry_180
green_arrow,symmetry,asymmetry,asymmetry
green_car,asymmetry,asymmetry,asymmetry
h_cups,symmetry,asymmetry,asymmetry
hammer,asymmetry,asymmetry,asymmetry
hello_kitty_bowl,symmetry,asymmetry,asymmetry
hello_kitty_cup,symmetry,asymmetry,asymmetry
hello_kitty_plate,symmetry_180,asymmetry,asymmetry
i_cups,symmetry,asymmetry,asymmetry
j_cups,symmetry,asymmetry,asymmetry
jenga,symmetry_180,symmetry_180,symmetry_180
knife,asymmetry,symmetry_180,asymmetry
large_clamp,asymmetry,symmetry_180,asymmetry
large_marker,asymmetry,symmetry,asymmetry
master_chef_can,symmetry,symmetry_180,symmetry_180
medium_clamp,asymmetry,symmetry_180,asymmetry
mug,asymmetry,asymmetry,asymmetry
mustard_bottle,symmetry_180,asymmetry,asymmetry
nine_hole_peg_test,symmetry_90,symmetry_180,symmetry_180
pepsi,symmetry,symmetry_180,symmetry_180
phillips_screwdriver,asymmetry,symmetry,asymmetry
pigeon,symmetry_180,asymmetry,asymmetry
pitcher_base,asymmetry,asymmetry,asymmetry
plate,symmetry,asymmetry,asymmetry
potted_meat_can,symmetry_180,symmetry_180,symmetry_180
power_drill,asymmetry,asymmetry,asymmetry
prism,symmetry_180,asymmetry,asymmetry
pudding_box,symmetry_180,symmetry_180,symmetry_180
pure_zhen,symmetry,symmetry_180,symmetry_180
realsense_box,symmetry_180,symmetry_180,symmetry_180
red_car,asymmetry,asymmetry,asymmetry
redbull,symmetry,symmetry_180,symmetry_180
rubiks_cube,symmetry_90,symmetry_90,symmetry_90
scissors,asymmetry,symmetry_180,asymmetry
spoon,asymmetry,asymmetry,asymmetry
sugar_box,symmetry_180,symmetry_180,symmetry_180
tea_can1,symmetry,symmetry_180,symmetry_180
tomato_soup_can,symmetry,symmetry_180,symmetry_180
tuna_fish_can,symmetry,symmetry_180,symmetry_180
wood_block,symmetry_180,symmetry_90,symmetry_180
wooden_puzzle1,symmetry_90,symmetry_90,symmetry_90
wooden_puzzle2,symmetry_90,symmetry_90,symmetry_90
wooden_puzzle3,symmetry_90,symmetry_90,symmetry_90
bear_stationery_box,symmetry_180,symmetry_90,symmetry_180
blue_moon,symmetry_180,asymmetry,asymmetry
cleanser,symmetry_180,asymmetry,asymmetry
cocacola1,symmetry,symmetry_180,symmetry_180
elephant,symmetry_180,asymmetry,asymmetry
feng_tea_box,symmetry_90,symmetry_180,symmetry_180
polar_bear,symmetry_180,asymmetry,asymmetry
rabbit_bowl,symmetry,asymmetry,asymmetry
wooden_boat_bowl,symmetry_180,asymmetry,asymmetry
wooden_cup,symmetry,asymmetry,asymmetry
wooden_cup1,asymmetry,asymmetry,asymmetry
wooden_cup2,asymmetry,asymmetry,asymmetry
wooden_cup3,asymmetry,asymmetry,asymmetry
wooden_square_bowl,symmetry_90,asymmetry,asymmetry
zebra,symmetry_180,asymmetry,asymmetry
